POSX,NPOSX,POSZ,NPOSZ
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
-29,79,-7,29
-6,102,-8,28
-11,97,-5,31
-29,79,-7,29
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
1,109,5,41
